file,line,col,log_line,raw_message,category,suggestion
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,635,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,644,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,653,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,656,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,665,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,674,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,677,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,686,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,695,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,698,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,707,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,716,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,719,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,728,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,737,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,746,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,755,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,758,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,765,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,780,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,789,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,792,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,802,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,811,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,814,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
